pressure reset, projection, velocity advection, smoke advection, mergeObjects, rendering
0.000005,0.000216,0.000042,0.000018,0.000009,0.000010
0.000004,0.000216,0.000061,0.000017,0.000009,0.000010
0.000008,0.000224,0.000047,0.000016,0.000008,0.000011
0.000005,0.000224,0.000035,0.000013,0.000007,0.000008
0.000020,0.000254,0.000122,0.000035,0.000025,0.000023
0.000004,0.000220,0.000066,0.000016,0.000008,0.000009
0.000007,0.000215,0.000048,0.000020,0.000009,0.000011
0.000004,0.000218,0.000050,0.000016,0.000009,0.000010
0.000004,0.000207,0.000049,0.000019,0.000014,0.000013
0.000005,0.000209,0.000044,0.000026,0.000010,0.000015
0.000008,0.000217,0.000047,0.000018,0.000009,0.000010
0.000004,0.000207,0.000046,0.000021,0.000012,0.000011
0.000006,0.000241,0.000088,0.000043,0.000016,0.000017
0.000006,0.000210,0.000039,0.000016,0.000007,0.000008
0.000004,0.000222,0.000050,0.000016,0.000007,0.000010
0.000010,0.000229,0.000037,0.000015,0.000006,0.000006
0.000004,0.000208,0.000057,0.000019,0.000010,0.000013
0.000004,0.000202,0.000051,0.000021,0.000012,0.000013
0.000008,0.000218,0.000057,0.000017,0.000010,0.000011
0.000023,0.000214,0.000038,0.000015,0.000009,0.000009
0.000004,0.000211,0.000056,0.000016,0.000009,0.000011
0.000007,0.000216,0.000059,0.000018,0.000009,0.000011
0.000006,0.000209,0.000036,0.000014,0.000006,0.000007
0.000004,0.000213,0.000057,0.000027,0.000014,0.000017
0.000009,0.000218,0.000066,0.000018,0.000013,0.000011
0.000011,0.000219,0.000070,0.000028,0.000018,0.000012
0.000023,0.000249,0.000098,0.000027,0.000020,0.000017
0.000004,0.000214,0.000057,0.000017,0.000008,0.000010
0.000006,0.000227,0.000062,0.000015,0.000009,0.000011
0.000007,0.000227,0.000061,0.000017,0.000009,0.000013
0.000004,0.000222,0.000068,0.000022,0.000014,0.000019
0.000005,0.000215,0.000054,0.000022,0.000014,0.000014
0.000005,0.000212,0.000040,0.000013,0.000007,0.000007
0.000004,0.000216,0.000046,0.000017,0.000010,0.000008
0.000004,0.000214,0.000039,0.000022,0.000008,0.000009
0.000010,0.000213,0.000058,0.000018,0.000010,0.000009
0.000004,0.000201,0.000048,0.000019,0.000010,0.000013
0.000009,0.000222,0.000060,0.000017,0.000006,0.000006
0.000010,0.000213,0.000056,0.000017,0.000008,0.000007
0.000004,0.000213,0.000052,0.000020,0.000007,0.000008
0.000007,0.000213,0.000045,0.000019,0.000008,0.000009
0.000010,0.000213,0.000064,0.000022,0.000011,0.000014
0.000019,0.000245,0.000096,0.000028,0.000022,0.000019
0.000008,0.000211,0.000040,0.000013,0.000008,0.000008
0.000005,0.000208,0.000052,0.000017,0.000013,0.000011
0.000005,0.000205,0.000048,0.000017,0.000009,0.000014
0.000004,0.000208,0.000039,0.000014,0.000007,0.000007
0.000007,0.000208,0.000036,0.000015,0.000006,0.000007
0.000006,0.000210,0.000044,0.000014,0.000009,0.000009
0.000004,0.000209,0.000040,0.000015,0.000008,0.000009
0.000005,0.000213,0.000048,0.000021,0.000012,0.000014
0.000006,0.000216,0.000046,0.000017,0.000010,0.000010
0.000005,0.000201,0.000047,0.000021,0.000010,0.000011
0.000016,0.000219,0.000053,0.000019,0.000013,0.000014
